age,sex,ex
0,male,78.57
0,female,82.57
1,male,77.91
1,female,81.86
2,male,76.93
2,female,80.88
3,male,75.94
3,female,79.89
4,male,74.95
4,female,78.9
5,male,73.96
5,female,77.9
6,male,72.96
6,female,76.91
7,male,71.97
7,female,75.91
8,male,70.97
8,female,74.92
9,male,69.98
9,female,73.92
10,male,68.98
10,female,72.92
11,male,67.99
11,female,71.93
12,male,66.99
12,female,70.93
13,male,66
13,female,69.94
14,male,65.01
14,female,68.94
15,male,64.01
15,female,67.95
16,male,63.02
16,female,66.96
17,male,62.04
17,female,65.97
18,male,61.06
18,female,64.98
19,male,60.08
19,female,63.99
20,male,59.11
20,female,63
21,male,58.14
21,female,62.01
22,male,57.17
22,female,61.03
23,male,56.2
23,female,60.04
24,male,55.23
24,female,59.06
25,male,54.26
25,female,58.07
26,male,53.29
26,female,57.08
27,male,52.33
27,female,56.1
28,male,51.36
28,female,55.12
29,male,50.39
29,female,54.13
30,male,49.43
30,female,53.15
31,male,48.47
31,female,52.17
32,male,47.51
32,female,51.19
33,male,46.55
33,female,50.21
34,male,45.6
34,female,49.24
35,male,44.65
35,female,48.27
36,male,43.69
36,female,47.3
37,male,42.75
37,female,46.33
38,male,41.81
38,female,45.36
39,male,40.86
39,female,44.4
40,male,39.93
40,female,43.44
41,male,39
41,female,42.48
42,male,38.07
42,female,41.53
43,male,37.14
43,female,40.58
44,male,36.22
44,female,39.63
45,male,35.3
45,female,38.68
46,male,34.39
46,female,37.74
47,male,33.48
47,female,36.8
48,male,32.58
48,female,35.87
49,male,31.69
49,female,34.94
50,male,30.8
50,female,34.02
51,male,29.92
51,female,33.1
52,male,29.04
52,female,32.18
53,male,28.17
53,female,31.27
54,male,27.3
54,female,30.36
55,male,26.43
55,female,29.46
56,male,25.58
56,female,28.56
57,male,24.73
57,female,27.66
58,male,23.89
58,female,26.78
59,male,23.05
59,female,25.89
60,male,22.23
60,female,25.02
61,male,21.41
61,female,24.15
62,male,20.61
62,female,23.29
63,male,19.81
63,female,22.44
64,male,19.03
64,female,21.6
65,male,18.25
65,female,20.76
66,male,17.48
66,female,19.93
67,male,16.73
67,female,19.12
68,male,15.99
68,female,18.31
69,male,15.26
69,female,17.51
70,male,14.54
70,female,16.72
71,male,13.84
71,female,15.94
72,male,13.14
72,female,15.17
73,male,12.46
73,female,14.41
74,male,11.78
74,female,13.66
75,male,11.12
75,female,12.92
76,male,10.47
76,female,12.2
77,male,9.86
77,female,11.51
78,male,9.26
78,female,10.83
79,male,8.68
79,female,10.16
80,male,8.12
80,female,9.53
81,male,7.6
81,female,8.91
82,male,7.08
82,female,8.32
83,male,6.6
83,female,7.75
84,male,6.12
84,female,7.2
85,male,5.68
85,female,6.67
86,male,5.25
86,female,6.17
87,male,4.85
87,female,5.7
88,male,4.48
88,female,5.26
89,male,4.14
89,female,4.85
90,male,3.81
90,female,4.47
91,male,3.52
91,female,4.11
92,male,3.25
92,female,3.78
93,male,3
93,female,3.49
94,male,2.78
94,female,3.23
95,male,2.57
95,female,2.97
96,male,2.4
96,female,2.74
97,male,2.22
97,female,2.54
98,male,2.07
98,female,2.35
99,male,1.91
99,female,2.2
100,male,1.8
100,female,2.04
